file,profile,policy,seed,belief_ttl,max_observations,sensor_mode,device,learned_model,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,replan_count,stale_count,path_length,viewpoint_travel,brier_score,final_entropy,information_gain_per_meter,unresolved_gate_entries,dynamic_intercepted,avg_sensor_corruption_ms,avg_perception_ms,elapsed_seconds,simulation_steps
fixed-multiview__dynamic-change__seed-20019.json,dynamic-change,fixed-multiview,20019,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,8.752000000000006,5.312000000000004,0.05848117373025793,0.6843861961987737,0.0651437726739128,0,False,135.91082445780435,147.07284406820932,3.1885885279625654,577
fixed-multiview__segmentation-degradation__seed-20000.json,segmentation-degradation,fixed-multiview,20000,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,11.568000000000008,8.320000000000006,0.006089271743920527,0.11602284211361143,0.110556092267955,0,False,100.74432484308879,14.39893647034963,2.6718675773590803,753
fixed-multiview__segmentation-degradation__seed-20001.json,segmentation-degradation,fixed-multiview,20001,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,13.37600000000001,8.320000000000006,0.009350745840864072,0.28734587964494845,0.08565554331190518,0,False,98.26520037651062,14.72014170885086,2.8359028715640306,866
fixed-multiview__segmentation-degradation__seed-20002.json,segmentation-degradation,fixed-multiview,20002,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,9.056000000000006,5.312000000000004,0.0007434742184156106,0.12981462240707178,0.17387859640007505,0,False,96.91256785392761,13.865321934223175,2.4979410506784916,596
fixed-multiview__segmentation-degradation__seed-20003.json,segmentation-degradation,fixed-multiview,20003,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,13.37600000000001,8.320000000000006,0.008010430412908026,0.1306903035449535,0.10448433851623148,0,False,97.24192674954732,13.81039845943451,2.8209677133709192,866
fixed-multiview__segmentation-degradation__seed-20004.json,segmentation-degradation,fixed-multiview,20004,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,11.488000000000008,7.680000000000005,0.008464995673216529,0.2126341713404429,0.11099083433836936,0,False,114.28657706578572,14.430228193600973,2.881582096219063,748
fixed-multiview__segmentation-degradation__seed-20005.json,segmentation-degradation,fixed-multiview,20005,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,13.37600000000001,8.320000000000006,0.022020311030783904,0.5875306436391509,0.05703956531954886,0,False,107.86223991711934,13.714787920316061,3.044935503974557,866
fixed-multiview__segmentation-degradation__seed-20006.json,segmentation-degradation,fixed-multiview,20006,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,9.056000000000006,5.312000000000004,0.005231748743475202,0.43296544826765093,0.1315383487500686,0,False,105.71238032976787,15.191714266935984,2.6666199322789907,596
fixed-multiview__segmentation-degradation__seed-20007.json,segmentation-degradation,fixed-multiview,20007,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,8.752000000000006,5.312000000000004,0.02582438099107104,0.6103179074385902,0.08370866839609604,0,False,104.27047038078308,13.901745597521463,2.5717465355992317,577
fixed-multiview__segmentation-degradation__seed-20008.json,segmentation-degradation,fixed-multiview,20008,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,11.568000000000008,8.320000000000006,0.027173702632397337,0.37296785556016787,0.08112685293109001,0,False,100.31861261526744,13.854856312274933,2.822444951161742,753
