file,scenario,policy,seed,noise_profile,noise_rate,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,path_length,elapsed_seconds,simulation_steps
majority-vote__clear__noise-0.1__seed-02.json,clear,majority-vote,2,random,0.1,True,True,False,False,3,4.640001406893134,0.9877025205641985,350
majority-vote__clear__noise-0.1__seed-03.json,clear,majority-vote,3,random,0.1,True,True,False,False,3,4.640001406893134,0.9388299435377121,350
majority-vote__clear__noise-0.1__seed-04.json,clear,majority-vote,4,random,0.1,True,True,False,False,3,4.640001406893134,0.910209646448493,350
majority-vote__clear__noise-0.1__seed-05.json,clear,majority-vote,5,random,0.1,True,True,False,False,3,4.640001406893134,0.9288789927959442,350
majority-vote__clear__noise-0.1__seed-06.json,clear,majority-vote,6,random,0.1,True,True,False,False,3,4.640001406893134,0.8756519909948111,350
majority-vote__clear__noise-0.1__seed-07.json,clear,majority-vote,7,random,0.1,True,True,False,False,3,4.640001406893134,0.9671978820115328,350
majority-vote__clear__noise-0.1__seed-08.json,clear,majority-vote,8,random,0.1,True,True,False,False,3,4.640001406893134,0.9206185378134251,350
majority-vote__clear__noise-0.1__seed-09.json,clear,majority-vote,9,random,0.1,True,True,False,False,3,4.640001406893134,0.9056928977370262,350
majority-vote__clear__noise-0.1__seed-10.json,clear,majority-vote,10,random,0.1,True,True,False,False,3,4.640001406893134,1.0228729918599129,350
majority-vote__clear__noise-0.1__seed-11.json,clear,majority-vote,11,random,0.1,True,True,False,False,3,4.640001406893134,1.0249165017157793,350
majority-vote__clear__noise-0.1__seed-12.json,clear,majority-vote,12,random,0.1,True,True,False,False,3,4.640001406893134,0.9123048111796379,350
majority-vote__clear__noise-0.1__seed-13.json,clear,majority-vote,13,random,0.1,True,True,False,False,3,4.640001406893134,0.9139269217848778,350
majority-vote__clear__noise-0.1__seed-14.json,clear,majority-vote,14,random,0.1,True,True,False,False,3,4.640001406893134,1.0451421234756708,350
majority-vote__clear__noise-0.1__seed-15.json,clear,majority-vote,15,random,0.1,True,True,False,False,3,4.640001406893134,1.0200188644230366,350
majority-vote__clear__noise-0.1__seed-16.json,clear,majority-vote,16,random,0.1,True,True,False,False,3,4.640001406893134,0.9092450756579638,350
majority-vote__clear__noise-0.1__seed-17.json,clear,majority-vote,17,random,0.1,True,True,False,False,3,4.640001406893134,0.9124887846410275,350
majority-vote__clear__noise-0.1__seed-18.json,clear,majority-vote,18,random,0.1,True,True,False,False,3,4.640001406893134,1.0613441038876772,350
majority-vote__clear__noise-0.1__seed-19.json,clear,majority-vote,19,random,0.1,True,True,False,False,3,4.640001406893134,1.0871040131896734,350
majority-vote__clear__noise-0.2__seed-00.json,clear,majority-vote,0,random,0.2,True,True,False,False,3,4.640001406893134,0.8832293339073658,350
majority-vote__clear__noise-0.2__seed-01.json,clear,majority-vote,1,random,0.2,True,True,False,False,3,4.640001406893134,0.9284969605505466,350
majority-vote__clear__noise-0.2__seed-02.json,clear,majority-vote,2,random,0.2,True,True,False,False,3,4.640001406893134,1.0877721440047026,350
majority-vote__clear__noise-0.2__seed-03.json,clear,majority-vote,3,random,0.2,True,True,False,False,3,4.640001406893134,1.070009846240282,350
majority-vote__clear__noise-0.2__seed-04.json,clear,majority-vote,4,random,0.2,True,True,False,False,3,4.640001406893134,0.9273529946804047,350
majority-vote__clear__noise-0.2__seed-05.json,clear,majority-vote,5,random,0.2,True,True,False,False,3,4.640001406893134,0.915795499458909,350
majority-vote__clear__noise-0.2__seed-06.json,clear,majority-vote,6,random,0.2,True,True,False,False,3,4.640001406893134,0.965641513466835,350
majority-vote__clear__noise-0.2__seed-07.json,clear,majority-vote,7,random,0.2,True,True,False,False,3,4.640001406893134,1.0310203153640032,350
majority-vote__clear__noise-0.2__seed-08.json,clear,majority-vote,8,random,0.2,True,True,False,False,3,4.640001406893134,0.9560116492211819,350
majority-vote__clear__noise-0.2__seed-09.json,clear,majority-vote,9,random,0.2,True,True,False,False,3,4.640001406893134,0.9583588484674692,350
majority-vote__clear__noise-0.2__seed-10.json,clear,majority-vote,10,random,0.2,True,True,False,False,3,4.640001406893134,0.9088470954447985,350
majority-vote__clear__noise-0.2__seed-11.json,clear,majority-vote,11,random,0.2,True,True,False,False,3,4.640001406893134,0.9630268067121506,350
majority-vote__clear__noise-0.2__seed-12.json,clear,majority-vote,12,random,0.2,True,True,False,False,3,4.640001406893134,0.939510291442275,350
majority-vote__clear__noise-0.2__seed-13.json,clear,majority-vote,13,random,0.2,True,True,False,False,3,4.640001406893134,0.9409628324210644,350
majority-vote__clear__noise-0.2__seed-14.json,clear,majority-vote,14,random,0.2,True,True,False,False,3,4.640001406893134,0.9185148105025291,350
majority-vote__clear__noise-0.2__seed-15.json,clear,majority-vote,15,random,0.2,True,True,False,False,3,4.640001406893134,1.0651231408119202,350
majority-vote__clear__noise-0.2__seed-16.json,clear,majority-vote,16,random,0.2,True,True,False,False,3,4.640001406893134,0.948374554514885,350
majority-vote__clear__noise-0.2__seed-17.json,clear,majority-vote,17,random,0.2,True,True,False,False,3,4.640001406893134,0.9489366691559553,350
majority-vote__clear__noise-0.2__seed-18.json,clear,majority-vote,18,random,0.2,True,True,False,False,3,4.640001406893134,0.9299719221889973,350
majority-vote__clear__noise-0.2__seed-19.json,clear,majority-vote,19,random,0.2,True,True,False,False,3,4.640001406893134,1.027031097561121,350
majority-vote__clear__noise-0.3__seed-00.json,clear,majority-vote,0,random,0.3,True,True,False,False,3,4.640001406893134,0.9789912365376949,350
majority-vote__clear__noise-0.3__seed-01.json,clear,majority-vote,1,random,0.3,True,True,False,False,3,4.640001406893134,0.9578216690570116,350
majority-vote__clear__noise-0.3__seed-02.json,clear,majority-vote,2,random,0.3,True,True,False,False,3,4.640001406893134,0.8967135939747095,350
majority-vote__clear__noise-0.3__seed-03.json,clear,majority-vote,3,random,0.3,True,True,False,False,3,4.640001406893134,1.040416968986392,350
majority-vote__clear__noise-0.3__seed-04.json,clear,majority-vote,4,random,0.3,True,True,False,True,3,5.135999085381627,0.9962209425866604,381
majority-vote__clear__noise-0.3__seed-05.json,clear,majority-vote,5,random,0.3,True,True,False,False,3,4.640001406893134,0.9619279596954584,350
